cid,smiles
193896,CC(=CCC(=O)O)C(=O)O
194430,C1(=N)C(=NC(=NC1=O)N)N
197313,CON=CC1=CCCNC1
197384,C1C(=O)C=C(O1)C(CO)O
197730,C1=CC(=O)C(=CC1=O)CO
201405,CCC(=NN=C(C)CC)C
205993,CCCCC=CC=CC=C
207423,CCCC=NN=CCCC
212930,CC(=O)C=CC1=CC=CO1
215498,CC1(CCSC(=N1)C=C)C
219389,CC1CCC(=CC1)C(=O)O
220834,CC1(CC(=CC(=C1)O)O)C
221164,C1CN=C(N1)C2=NCCN2
221204,CC(C)C=C1CCOC1=O
221780,CCOC=CC(=O)OCC
222466,CCCCOC(=O)C(=O)N
223376,CCN(CC)C(=O)C=CC
223808,CC1C(=CC=CO1)C(=O)O
226502,C1CCC(=CO)C(=O)CC1
228225,CCN(CC)C(=O)C(=C)C
228342,CC1=C(C(CC=C1)(C)C)C
228997,C1CC(CC=C1)C=CC=O
229844,CC1CC(=CC(=O)O1)OC
229993,CC(=C)COC(=O)C(=C)C
230406,CCC(=CC(=O)O)C(=O)O
231194,CC1CC(C(=O)C=C1C)C
231819,C=CCC1C(=O)N=C(S1)N
232448,CC(C)CC(=CC(=O)O)C
234615,CC(=O)C(=C)CC(=O)OC
238970,CC(C)C1=CC(=O)CCC1
238972,CCCC1=CC(=O)CCC1
239240,CN(C(=O)C(=O)O)C(=N)N
240000,CC(C(=O)O)NC(=O)C=C
240034,CC(=NNC(=O)C)C(=O)O
240545,CC(=C(C(=O)O)C(=O)O)C
240596,CCOC(=O)C=C(C)C#N
244303,CN1CC(C(=O)C1=O)C#N
244970,CC1=CC(=CC(N1)(C)C)C
245915,C(=CC(=O)O)C(=O)NC=O
246580,CC(=CC(=O)N)C(C)(C)C
247393,CC1=C(CCC1=O)C(=O)O
247452,CCOC(=O)C=C(C)NC
247461,CC1=CC(=O)OC(C1)(C)C
248817,CCCCC=NN=C(N)N
248907,CC(=C(C#N)C(=O)OC)C
250505,CCCC=C(CC)C=NO
250688,CC1=C(C(=O)N(C1=O)O)C
251477,CCCC=C(C#N)C(=O)O
